userID;username;group;points;level;startTime;endTime;overallDuration;overallDurationSec;durationTask1;durationTask2;durationTask3;durationTask4;durationTask5;durationTask6;taskTimes
122;CyberWarrior;1;28;3;2021-03-03 12:06:24.670000;2021-03-03 13:03:55.948000;0:57:31.278000;3.451.278;0.017;2.545;147.495;;;;"[[""2021-03-03T12:35:34.197Z"",""2021-03-03T12:35:34.214Z"",0.017],[""2021-03-03T12:56:30.807Z"",""2021-03-03T12:56:33.352Z"",2.545],[""2021-03-03T13:01:28.453Z"",""2021-03-03T13:03:55.948Z"",147.495]]"
189;HackOverflow;1;65;6;2021-03-03 12:07:25.983000;2021-03-03 13:03:46.100000;0:56:20.117000;3.380.117;0.005;14.252;233.26;303.038;13.198;157.746;"[[""2021-03-03T12:32:54.505Z"",""2021-03-03T12:32:54.510Z"",0.005],[""2021-03-03T12:38:15.101Z"",""2021-03-03T12:38:29.353Z"",14.252],[""2021-03-03T12:40:19.525Z"",""2021-03-03T12:44:12.785Z"",233.26],[""2021-03-03T12:45:28.048Z"",""2021-03-03T12:50:31.086Z"",303.038],[""2021-03-03T12:57:21.963Z"",""2021-03-03T12:57:35.161Z"",13.198],[""2021-03-03T13:01:08.354Z"",""2021-03-03T13:03:46.100Z"",157.746]]"
234;MrTuring;1;59;6;2021-03-03 12:05:53.318000;2021-03-03 13:01:58.037000;0:56:04.719000;3.364.719;0.015;19.767;93.564;174.43;135.186;290.887;"[[""2021-03-03T12:20:56.445Z"",""2021-03-03T12:20:56.460Z"",0.015],[""2021-03-03T12:26:15.889Z"",""2021-03-03T12:26:35.656Z"",19.767],[""2021-03-03T12:31:32.268Z"",""2021-03-03T12:33:05.832Z"",93.564],[""2021-03-03T12:42:41.760Z"",""2021-03-03T12:45:36.190Z"",174.43],[""2021-03-03T12:50:47.632Z"",""2021-03-03T12:53:02.818Z"",135.186],[""2021-03-03T12:57:07.150Z"",""2021-03-03T13:01:58.037Z"",290.887]]"
235;CyberrangeCowboy;1;96;6;2021-03-03 12:12:05.853000;2021-03-03 12:52:58.903000;0:40:53.050000;2453.05;0.003;0.002;121.666;11.823;0.006;9.137;"[[""2021-03-03T12:23:42.870Z"",""2021-03-03T12:23:42.873Z"",0.003],[""2021-03-03T12:28:10.710Z"",""2021-03-03T12:28:10.712Z"",0.002],[""2021-03-03T12:34:18.785Z"",""2021-03-03T12:36:20.451Z"",121.666],[""2021-03-03T12:43:08.683Z"",""2021-03-03T12:43:20.506Z"",11.823],[""2021-03-03T12:46:30.184Z"",""2021-03-03T12:46:30.190Z"",0.006],[""2021-03-03T12:52:49.766Z"",""2021-03-03T12:52:58.903Z"",9.137]]"
386;RootRuth;1;93;6;2021-03-03 12:12:45.399000;2021-03-03 13:08:42.721000;0:55:57.322000;3.357.322;0.005;63.335;118.054;147.545;0.006;20.731;"[[""2021-03-03T12:24:50.710Z"",""2021-03-03T12:24:50.715Z"",0.005],[""2021-03-03T12:29:29.021Z"",""2021-03-03T12:30:32.356Z"",63.335],[""2021-03-03T12:37:09.594Z"",""2021-03-03T12:39:07.648Z"",118.054],[""2021-03-03T12:47:30.868Z"",""2021-03-03T12:49:58.413Z"",147.545],[""2021-03-03T12:54:54.385Z"",""2021-03-03T12:54:54.391Z"",0.006],[""2021-03-03T13:08:21.990Z"",""2021-03-03T13:08:42.721Z"",20.731]]"
611;SecuritySandra;1;99;6;2021-03-03 12:11:15.873000;2021-03-03 12:57:10.385000;0:45:54.512000;2.754.512;0.002;1.751;91.854;2.937;0.006;0.004;"[[""2021-03-03T12:24:29.997Z"",""2021-03-03T12:24:29.999Z"",0.002],[""2021-03-03T12:28:50.948Z"",""2021-03-03T12:28:52.699Z"",1.751],[""2021-03-03T12:34:07.554Z"",""2021-03-03T12:35:39.408Z"",91.854],[""2021-03-03T12:46:35.684Z"",""2021-03-03T12:46:38.621Z"",2.937],[""2021-03-03T12:51:42.569Z"",""2021-03-03T12:51:42.575Z"",0.006],[""2021-03-03T12:57:10.381Z"",""2021-03-03T12:57:10.385Z"",0.004]]"
612;JavaJane;1;96;6;2021-03-03 12:06:57.609000;2021-03-03 12:50:15.559000;0:43:17.950000;2597.95;0.006;5.709;36.365;40.953;12.996;0.002;"[[""2021-03-03T12:20:48.727Z"",""2021-03-03T12:20:48.733Z"",0.006],[""2021-03-03T12:25:48.358Z"",""2021-03-03T12:25:54.067Z"",5.709],[""2021-03-03T12:36:33.075Z"",""2021-03-03T12:37:09.440Z"",36.365],[""2021-03-03T12:37:29.805Z"",""2021-03-03T12:38:10.758Z"",40.953],[""2021-03-03T12:42:33.581Z"",""2021-03-03T12:42:46.577Z"",12.996],[""2021-03-03T12:50:15.557Z"",""2021-03-03T12:50:15.559Z"",0.002]]"
723;SocSebastian;1;78;6;2021-03-03 12:36:49.565000;2021-03-03 12:50:30.038000;0:13:40.473000;820.473;0.003;167.758;;;;;"[[""2021-03-03T12:44:09.863Z"",""2021-03-03T12:44:09.866Z"",0.003],[""2021-03-03T12:47:42.280Z"",""2021-03-03T12:50:30.038Z"",167.758]]"
960;WhoAmI;1;48;6;2021-03-03 12:15:11.446000;2021-03-03 13:15:30.924000;1:00:19.478000;3.619.478;0.013;2.471;94.725;0.003;203.117;2.289;"[[""2021-03-03T12:28:17.362Z"",""2021-03-03T12:28:17.375Z"",0.013],[""2021-03-03T12:38:10.453Z"",""2021-03-03T12:38:12.924Z"",2.471],[""2021-03-03T12:43:41.208Z"",""2021-03-03T12:45:15.933Z"",94.725],[""2021-03-03T12:56:13.833Z"",""2021-03-03T12:56:13.836Z"",0.003],[""2021-03-03T13:05:38.601Z"",""2021-03-03T13:09:01.718Z"",203.117],[""2021-03-03T13:15:28.635Z"",""2021-03-03T13:15:30.924Z"",2.289]]"
128;CyberCop;2;92;6;2021-03-04 12:05:51.248000;2021-03-04 13:06:40.754000;1:00:49.506000;3.649.506;0.004;499.308;110.14;364.825;0.005;19.114;"[[""2021-03-04T12:25:22.448Z"",""2021-03-04T12:25:22.452Z"",0.004],[""2021-03-04T12:32:30.141Z"",""2021-03-04T12:40:49.449Z"",499.308],[""2021-03-04T12:45:37.076Z"",""2021-03-04T12:47:27.216Z"",110.14],[""2021-03-04T12:52:03.318Z"",""2021-03-04T12:58:08.143Z"",364.825],[""2021-03-04T13:01:29.799Z"",""2021-03-04T13:01:29.804Z"",0.005],[""2021-03-04T13:06:21.640Z"",""2021-03-04T13:06:40.754Z"",19.114]]"
